epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1710.02,3.19815,4.21239,3.56596,0.6179,0.50172,0.52422,0.21473,2.24124,2.85986,2.75557,0.00333144,0.00333144,0.00333144
2,3064.56,1.88418,1.73429,2.1604,0.87791,0.75444,0.79669,0.44203,1.56075,1.31936,1.95634,0.0065988,0.0065988,0.0065988
3,4550.17,1.64916,1.28843,1.86023,0.89092,0.77859,0.84268,0.51501,1.45686,1.1208,1.79827,0.00980015,0.00980015,0.00980015
4,6033.06,1.54064,1.06855,1.72201,0.91322,0.80364,0.87139,0.54034,1.41125,0.99247,1.75055,0.009703,0.009703,0.009703
5,7514.62,1.47467,0.96825,1.64885,0.87077,0.80911,0.87204,0.56186,1.34498,0.93979,1.68649,0.009604,0.009604,0.009604
6,8997.17,1.43365,0.89239,1.62273,0.89739,0.82879,0.86126,0.5356,1.36948,0.88976,1.68996,0.009505,0.009505,0.009505
